StoreNum,Last,First,HireDate,FireDate,Position,FullTime,EmpId,City,State,Zip,Street,ReceiptNumber,SaleDate,Weekend,isCash,Receipt,Quantity,Item,Id,Flavor,Food,Price,Type
8,MARSCHALL,WYATT,2000-01-04,2000-01-30,Manager,True,8,Santa Barbara,CA,93108,1337 Anacapa St,544,2000-01-09,False,False,544,1,31,31,Apple,Croissant,1.45,Food
9,DIERCKS,MAEGAN,2000-01-25,2000-01-26,Manager,True,9,Monterey,CA,93943,730 Park Ave,279,2000-01-19,False,False,279,5,31,31,Apple,Croissant,1.45,Food
9,BULOSAN,JAMIE,2000-01-21,2000-01-26,Shift Manager,True,34,Monterey,CA,93943,730 Park Ave,279,2000-01-19,False,False,279,5,31,31,Apple,Croissant,1.45,Food
9,PIEPENBURG,ROLF,2000-01-20,2000-01-25,Shift Manager,True,35,Monterey,CA,93943,730 Park Ave,279,2000-01-19,False,False,279,5,31,31,Apple,Croissant,1.45,Food
9,FERDIN,ERICA,2000-01-02,2000-01-04,Shift Manager,True,36,Monterey,CA,93943,730 Park Ave,279,2000-01-19,False,False,279,5,31,31,Apple,Croissant,1.45,Food
9,THIRY,SILVANA,2000-01-02,2000-01-29,Barista,True,37,Monterey,CA,93943,730 Park Ave,279,2000-01-19,False,False,279,5,31,31,Apple,Croissant,1.45,Food
9,LOPATA,NICHOL,2000-01-27,2000-01-28,Shift Manager,True,38,Monterey,CA,93943,730 Park Ave,279,2000-01-19,False,False,279,5,31,31,Apple,Croissant,1.45,Food
7,TOLMAN,BRICE,2000-01-17,2000-01-25,Manager,True,7,San Jose,CA,95106,200 Keyes St,836,2000-01-19,False,False,836,3,31,31,Apple,Croissant,1.45,Food
8,MARSCHALL,WYATT,2000-01-04,2000-01-30,Manager,True,8,Santa Barbara,CA,93108,1337 Anacapa St,780,2000-01-23,False,False,780,3,31,31,Apple,Croissant,1.45,Food
8,MARSCHALL,WYATT,2000-01-04,2000-01-30,Manager,True,8,Santa Barbara,CA,93108,1337 Anacapa St,257,2000-01-13,False,False,257,2,31,31,Apple,Croissant,1.45,Food
10,DURNEY,FELIPE,2000-01-07,2000-01-18,Manager,True,10,Bakersfield,CA,93308,1850 Truxtun Ave,262,2000-01-18,False,True,262,4,31,31,Apple,Croissant,1.45,Food
8,MARSCHALL,WYATT,2000-01-04,2000-01-30,Manager,True,8,Santa Barbara,CA,93108,1337 Anacapa St,269,2000-01-07,True,False,269,1,31,31,Apple,Croissant,1.45,Food
1,COCOROS,ADAN,2000-08-19,2000-01-25,Manager,True,1,San Francisco,CA,94171,150 Hayes St,666,2000-07-20,False,False,666,2,31,31,Apple,Croissant,1.45,Food
8,MARSCHALL,WYATT,2000-01-04,2000-01-30,Manager,True,8,Santa Barbara,CA,93108,1337 Anacapa St,489,2000-01-12,False,False,489,2,31,31,Apple,Croissant,1.45,Food
9,DIERCKS,MAEGAN,2000-01-25,2000-01-26,Manager,True,9,Monterey,CA,93943,730 Park Ave,937,2000-01-25,False,False,937,1,31,31,Apple,Croissant,1.45,Food
9,BULOSAN,JAMIE,2000-01-21,2000-01-26,Shift Manager,True,34,Monterey,CA,93943,730 Park Ave,937,2000-01-25,False,False,937,1,31,31,Apple,Croissant,1.45,Food
9,PIEPENBURG,ROLF,2000-01-20,2000-01-25,Shift Manager,True,35,Monterey,CA,93943,730 Park Ave,937,2000-01-25,False,False,937,1,31,31,Apple,Croissant,1.45,Food
9,FERDIN,ERICA,2000-01-02,2000-01-04,Shift Manager,True,36,Monterey,CA,93943,730 Park Ave,937,2000-01-25,False,False,937,1,31,31,Apple,Croissant,1.45,Food
9,THIRY,SILVANA,2000-01-02,2000-01-29,Barista,True,37,Monterey,CA,93943,730 Park Ave,937,2000-01-25,False,False,937,1,31,31,Apple,Croissant,1.45,Food
9,LOPATA,NICHOL,2000-01-27,2000-01-28,Shift Manager,True,38,Monterey,CA,93943,730 Park Ave,937,2000-01-25,False,False,937,1,31,31,Apple,Croissant,1.45,Food
19,NOLLETTE,ANGELO,2000-01-22,2000-01-28,Manager,True,19,Flagstaff,AZ,86001,700 University Ave,503,2000-01-21,True,False,503,4,31,31,Apple,Croissant,1.45,Food
19,CZWAKIEL,TALITHA,2000-01-25,2000-01-28,Manager,True,48,Flagstaff,AZ,86001,700 University Ave,503,2000-01-21,True,False,503,4,31,31,Apple,Croissant,1.45,Food
19,SAVE,AUDRY,2000-01-21,2000-01-29,Manager,True,49,Flagstaff,AZ,86001,700 University Ave,503,2000-01-21,True,False,503,4,31,31,Apple,Croissant,1.45,Food
3,HUCKABEE,COLLEEN,2000-01-18,2000-01-28,Manager,True,3,Los Angeles,CA,90081,400 Lincoln Ave,594,2000-01-25,False,False,594,3,31,31,Apple,Croissant,1.45,Food
3,TYSARCZYK,BENNY,2000-01-19,2000-01-20,Cashier,False,25,Los Angeles,CA,90081,400 Lincoln Ave,594,2000-01-25,False,False,594,3,31,31,Apple,Croissant,1.45,Food
3,MCCOMISH,CLARINE,2000-01-16,2000-01-18,Barista,False,26,Los Angeles,CA,90081,400 Lincoln Ave,594,2000-01-25,False,False,594,3,31,31,Apple,Croissant,1.45,Food
3,LUOTO,JENA,2000-01-27,2000-01-30,Barista,False,27,Los Angeles,CA,90081,400 Lincoln Ave,594,2000-01-25,False,False,594,3,31,31,Apple,Croissant,1.45,Food
18,LAZZARA,ROSALBA,2000-01-28,2000-01-30,Manager,True,18,Phoenix,AZ,85016,2400 Camelback Rd,880,2000-01-15,True,True,880,1,31,31,Apple,Croissant,1.45,Food
16,WORDLOW,WILL,2000-01-09,2000-01-14,Manager,True,16,Reno,NV,89507,446 Center St,310,2000-01-01,True,False,310,5,31,31,Apple,Croissant,1.45,Food
18,LAZZARA,ROSALBA,2000-01-28,2000-01-30,Manager,True,18,Phoenix,AZ,85016,2400 Camelback Rd,742,2000-01-07,True,False,742,1,31,31,Apple,Croissant,1.45,Food
11,STILNER,TOVA,2000-01-19,2000-01-27,Manager,True,11,Sacramento,CA,94211,1420 15th st,800,2000-01-07,True,False,800,3,31,31,Apple,Croissant,1.45,Food
10,DURNEY,FELIPE,2000-01-07,2000-01-18,Manager,True,10,Bakersfield,CA,93308,1850 Truxtun Ave,229,2000-01-04,False,False,229,3,31,31,Apple,Croissant,1.45,Food
13,PADMANABHAN,JOSEF,2000-01-05,2000-01-21,Manager,True,13,Portland,OR,97209,678 Burnside St,220,2000-01-04,False,False,220,5,31,31,Apple,Croissant,1.45,Food
13,WIMBLEY,ALFONZO,2000-01-28,2000-01-30,Cashier,True,39,Portland,OR,97209,678 Burnside St,220,2000-01-04,False,False,220,5,31,31,Apple,Croissant,1.45,Food
13,SAAVEDRA,HYACINTH,2000-01-27,2000-01-29,Cashier,True,40,Portland,OR,97209,678 Burnside St,220,2000-01-04,False,False,220,5,31,31,Apple,Croissant,1.45,Food
6,RININGER,LESTER,2000-01-26,2000-01-30,Manager,True,6,San Diego,CA,92110,1507 Front St,450,2000-01-26,False,False,450,5,31,31,Apple,Croissant,1.45,Food
7,TOLMAN,BRICE,2000-01-17,2000-01-25,Manager,True,7,San Jose,CA,95106,200 Keyes St,161,2000-01-07,True,True,161,3,31,31,Apple,Croissant,1.45,Food
15,PROO,SONIA,2000-01-03,2000-01-18,Manager,True,15,Olympia,WA,98512,312 State Ave,922,2000-01-07,True,False,922,3,31,31,Apple,Croissant,1.45,Food
17,HEISE,CHARMAINE,2000-01-23,2000-01-28,Manager,True,17,Las Vegas,NV,89101,4122 Rainbow Blvd,7,2000-01-25,False,False,7,3,31,31,Apple,Croissant,1.45,Food
17,SMOTHERMAN,KARRI,2000-01-05,2000-01-28,Cashier,True,45,Las Vegas,NV,89101,4122 Rainbow Blvd,7,2000-01-25,False,False,7,3,31,31,Apple,Croissant,1.45,Food
17,BOWERMAN,STEPHENIE,2000-01-03,2000-01-22,Manager,True,46,Las Vegas,NV,89101,4122 Rainbow Blvd,7,2000-01-25,False,False,7,3,31,31,Apple,Croissant,1.45,Food
17,SPECKEN,MARC,2000-01-12,2000-01-13,Shift Manager,True,47,Las Vegas,NV,89101,4122 Rainbow Blvd,7,2000-01-25,False,False,7,3,31,31,Apple,Croissant,1.45,Food
2,ROHLA,JESSE,2000-03-27,2000-08-30,Manager,True,2,San Luis Obispo,CA,93405,1430 Chorro St,514,2000-01-10,False,True,514,3,31,31,Apple,Croissant,1.45,Food
2,PESCH,MARGARETT,2000-01-26,2000-01-30,Cashier,True,22,San Luis Obispo,CA,93405,1430 Chorro St,514,2000-01-10,False,True,514,3,31,31,Apple,Croissant,1.45,Food
2,HAUSLADEN,LUISE,2000-01-22,2000-01-29,Shift Manager,True,23,San Luis Obispo,CA,93405,1430 Chorro St,514,2000-01-10,False,True,514,3,31,31,Apple,Croissant,1.45,Food
2,IWANEJKO,BEA,2000-01-21,2000-01-24,Manager,True,24,San Luis Obispo,CA,93405,1430 Chorro St,514,2000-01-10,False,True,514,3,31,31,Apple,Croissant,1.45,Food
8,MARSCHALL,WYATT,2000-01-04,2000-01-30,Manager,True,8,Santa Barbara,CA,93108,1337 Anacapa St,624,2000-01-13,False,False,624,2,31,31,Apple,Croissant,1.45,Food
15,PROO,SONIA,2000-01-03,2000-01-18,Manager,True,15,Olympia,WA,98512,312 State Ave,720,2000-01-15,True,False,720,1,31,31,Apple,Croissant,1.45,Food
12,SPURZEM,BRITTNEY,2000-01-25,2000-01-26,Manager,True,12,Stockton,CA,95208,300 Oak St,627,2000-01-12,False,True,627,5,31,31,Apple,Croissant,1.45,Food
20,DEBRECHT,JERALD,2000-01-04,2000-01-19,Manager,True,20,Tucson,AZ,85701,1900 Speedway Blvd,87,2000-01-26,False,False,87,1,31,31,Apple,Croissant,1.45,Food
20,BARRIE,RENE,2000-01-20,2000-01-28,Manager,True,21,Tucson,AZ,85701,1900 Speedway Blvd,87,2000-01-26,False,False,87,1,31,31,Apple,Croissant,1.45,Food
20,BRANDSTETTER,MOISES,2000-01-04,2000-01-10,Shift Manager,True,50,Tucson,AZ,85701,1900 Speedway Blvd,87,2000-01-26,False,False,87,1,31,31,Apple,Croissant,1.45,Food
11,STILNER,TOVA,2000-01-19,2000-01-27,Manager,True,11,Sacramento,CA,94211,1420 15th st,273,2000-01-13,False,False,273,5,31,31,Apple,Croissant,1.45,Food
19,NOLLETTE,ANGELO,2000-01-22,2000-01-28,Manager,True,19,Flagstaff,AZ,86001,700 University Ave,331,2000-01-26,False,True,331,1,31,31,Apple,Croissant,1.45,Food
19,CZWAKIEL,TALITHA,2000-01-25,2000-01-28,Manager,True,48,Flagstaff,AZ,86001,700 University Ave,331,2000-01-26,False,True,331,1,31,31,Apple,Croissant,1.45,Food
19,SAVE,AUDRY,2000-01-21,2000-01-29,Manager,True,49,Flagstaff,AZ,86001,700 University Ave,331,2000-01-26,False,True,331,1,31,31,Apple,Croissant,1.45,Food
19,NOLLETTE,ANGELO,2000-01-22,2000-01-28,Manager,True,19,Flagstaff,AZ,86001,700 University Ave,907,2000-01-23,False,False,907,5,31,31,Apple,Croissant,1.45,Food
19,CZWAKIEL,TALITHA,2000-01-25,2000-01-28,Manager,True,48,Flagstaff,AZ,86001,700 University Ave,907,2000-01-23,False,False,907,5,31,31,Apple,Croissant,1.45,Food
19,SAVE,AUDRY,2000-01-21,2000-01-29,Manager,True,49,Flagstaff,AZ,86001,700 University Ave,907,2000-01-23,False,False,907,5,31,31,Apple,Croissant,1.45,Food
14,CRATCH,RODNEY,2000-01-03,2000-01-17,Manager,True,14,Seattle,WA,98111,550 Thomas St,77,2000-01-23,False,False,77,5,31,31,Apple,Croissant,1.45,Food
14,SEINER,CLEMENTE,2000-01-26,2000-01-29,Barista,False,41,Seattle,WA,98111,550 Thomas St,77,2000-01-23,False,False,77,5,31,31,Apple,Croissant,1.45,Food
14,ROLLINGER,SANTOS,2000-01-13,2000-01-25,Shift Manager,True,42,Seattle,WA,98111,550 Thomas St,77,2000-01-23,False,False,77,5,31,31,Apple,Croissant,1.45,Food
14,JI,STARLA,2000-01-07,2000-01-12,Shift Manager,True,43,Seattle,WA,98111,550 Thomas St,77,2000-01-23,False,False,77,5,31,31,Apple,Croissant,1.45,Food
14,KOVALCHIK,DARRICK,2000-01-08,2000-01-21,Barista,True,44,Seattle,WA,98111,550 Thomas St,77,2000-01-23,False,False,77,5,31,31,Apple,Croissant,1.45,Food
5,YERGIN,MARCELINA,2000-01-24,2000-01-27,Manager,True,5,Los Angeles,CA,90001,200 Olive St,361,2000-01-13,False,False,361,1,31,31,Apple,Croissant,1.45,Food
5,BUBIER,ANDRES,2000-01-20,2000-01-26,Shift Manager,True,28,Los Angeles,CA,90001,200 Olive St,361,2000-01-13,False,False,361,1,31,31,Apple,Croissant,1.45,Food
5,PLEAS,DEMARCUS,2000-01-21,2000-01-30,Barista,True,29,Los Angeles,CA,90001,200 Olive St,361,2000-01-13,False,False,361,1,31,31,Apple,Croissant,1.45,Food
5,SCHNEIDMAN,MATT,2000-01-18,2000-01-23,Cashier,True,30,Los Angeles,CA,90001,200 Olive St,361,2000-01-13,False,False,361,1,31,31,Apple,Croissant,1.45,Food
5,DILGARD,BEATA,2000-01-17,2000-01-18,Barista,True,31,Los Angeles,CA,90001,200 Olive St,361,2000-01-13,False,False,361,1,31,31,Apple,Croissant,1.45,Food
5,KLINNERT,YON,2000-01-02,2000-01-12,Cashier,True,32,Los Angeles,CA,90001,200 Olive St,361,2000-01-13,False,False,361,1,31,31,Apple,Croissant,1.45,Food
5,STATHIS,LAURICE,2000-01-08,2000-01-10,Cashier,False,33,Los Angeles,CA,90001,200 Olive St,361,2000-01-13,False,False,361,1,31,31,Apple,Croissant,1.45,Food
2,ROHLA,JESSE,2000-03-27,2000-08-30,Manager,True,2,San Luis Obispo,CA,93405,1430 Chorro St,289,2000-01-15,True,False,289,3,31,31,Apple,Croissant,1.45,Food
2,PESCH,MARGARETT,2000-01-26,2000-01-30,Cashier,True,22,San Luis Obispo,CA,93405,1430 Chorro St,289,2000-01-15,True,False,289,3,31,31,Apple,Croissant,1.45,Food
2,HAUSLADEN,LUISE,2000-01-22,2000-01-29,Shift Manager,True,23,San Luis Obispo,CA,93405,1430 Chorro St,289,2000-01-15,True,False,289,3,31,31,Apple,Croissant,1.45,Food
2,IWANEJKO,BEA,2000-01-21,2000-01-24,Manager,True,24,San Luis Obispo,CA,93405,1430 Chorro St,289,2000-01-15,True,False,289,3,31,31,Apple,Croissant,1.45,Food
20,DEBRECHT,JERALD,2000-01-04,2000-01-19,Manager,True,20,Tucson,AZ,85701,1900 Speedway Blvd,356,2000-01-29,True,False,356,3,31,31,Apple,Croissant,1.45,Food
20,BARRIE,RENE,2000-01-20,2000-01-28,Manager,True,21,Tucson,AZ,85701,1900 Speedway Blvd,356,2000-01-29,True,False,356,3,31,31,Apple,Croissant,1.45,Food
20,BRANDSTETTER,MOISES,2000-01-04,2000-01-10,Shift Manager,True,50,Tucson,AZ,85701,1900 Speedway Blvd,356,2000-01-29,True,False,356,3,31,31,Apple,Croissant,1.45,Food
15,PROO,SONIA,2000-01-03,2000-01-18,Manager,True,15,Olympia,WA,98512,312 State Ave,889,2000-01-26,False,True,889,4,31,31,Apple,Croissant,1.45,Food
19,NOLLETTE,ANGELO,2000-01-22,2000-01-28,Manager,True,19,Flagstaff,AZ,86001,700 University Ave,968,2000-01-08,True,False,968,1,31,31,Apple,Croissant,1.45,Food
19,CZWAKIEL,TALITHA,2000-01-25,2000-01-28,Manager,True,48,Flagstaff,AZ,86001,700 University Ave,968,2000-01-08,True,False,968,1,31,31,Apple,Croissant,1.45,Food
19,SAVE,AUDRY,2000-01-21,2000-01-29,Manager,True,49,Flagstaff,AZ,86001,700 University Ave,968,2000-01-08,True,False,968,1,31,31,Apple,Croissant,1.45,Food
16,WORDLOW,WILL,2000-01-09,2000-01-14,Manager,True,16,Reno,NV,89507,446 Center St,390,2000-01-01,True,False,390,3,31,31,Apple,Croissant,1.45,Food
7,TOLMAN,BRICE,2000-01-17,2000-01-25,Manager,True,7,San Jose,CA,95106,200 Keyes St,651,2000-01-07,True,True,651,4,31,31,Apple,Croissant,1.45,Food
11,STILNER,TOVA,2000-01-19,2000-01-27,Manager,True,11,Sacramento,CA,94211,1420 15th st,710,2000-01-11,False,False,710,4,31,31,Apple,Croissant,1.45,Food
15,PROO,SONIA,2000-01-03,2000-01-18,Manager,True,15,Olympia,WA,98512,312 State Ave,492,2000-01-28,True,True,492,4,31,31,Apple,Croissant,1.45,Food
17,HEISE,CHARMAINE,2000-01-23,2000-01-28,Manager,True,17,Las Vegas,NV,89101,4122 Rainbow Blvd,256,2000-01-20,False,False,256,4,31,31,Apple,Croissant,1.45,Food
17,SMOTHERMAN,KARRI,2000-01-05,2000-01-28,Cashier,True,45,Las Vegas,NV,89101,4122 Rainbow Blvd,256,2000-01-20,False,False,256,4,31,31,Apple,Croissant,1.45,Food
17,BOWERMAN,STEPHENIE,2000-01-03,2000-01-22,Manager,True,46,Las Vegas,NV,89101,4122 Rainbow Blvd,256,2000-01-20,False,False,256,4,31,31,Apple,Croissant,1.45,Food
17,SPECKEN,MARC,2000-01-12,2000-01-13,Shift Manager,True,47,Las Vegas,NV,89101,4122 Rainbow Blvd,256,2000-01-20,False,False,256,4,31,31,Apple,Croissant,1.45,Food
6,RININGER,LESTER,2000-01-26,2000-01-30,Manager,True,6,San Diego,CA,92110,1507 Front St,911,2000-01-04,False,False,911,3,31,31,Apple,Croissant,1.45,Food
7,TOLMAN,BRICE,2000-01-17,2000-01-25,Manager,True,7,San Jose,CA,95106,200 Keyes St,835,2000-01-26,False,True,835,3,31,31,Apple,Croissant,1.45,Food
7,TOLMAN,BRICE,2000-01-17,2000-01-25,Manager,True,7,San Jose,CA,95106,200 Keyes St,141,2000-01-14,True,False,141,4,31,31,Apple,Croissant,1.45,Food
2,ROHLA,JESSE,2000-03-27,2000-08-30,Manager,True,2,San Luis Obispo,CA,93405,1430 Chorro St,414,2000-01-29,True,True,414,1,31,31,Apple,Croissant,1.45,Food
2,PESCH,MARGARETT,2000-01-26,2000-01-30,Cashier,True,22,San Luis Obispo,CA,93405,1430 Chorro St,414,2000-01-29,True,True,414,1,31,31,Apple,Croissant,1.45,Food
2,HAUSLADEN,LUISE,2000-01-22,2000-01-29,Shift Manager,True,23,San Luis Obispo,CA,93405,1430 Chorro St,414,2000-01-29,True,True,414,1,31,31,Apple,Croissant,1.45,Food
2,IWANEJKO,BEA,2000-01-21,2000-01-24,Manager,True,24,San Luis Obispo,CA,93405,1430 Chorro St,414,2000-01-29,True,True,414,1,31,31,Apple,Croissant,1.45,Food
6,RININGER,LESTER,2000-01-26,2000-01-30,Manager,True,6,San Diego,CA,92110,1507 Front St,943,2000-01-23,False,True,943,2,31,31,Apple,Croissant,1.45,Food
3,HUCKABEE,COLLEEN,2000-01-18,2000-01-28,Manager,True,3,Los Angeles,CA,90081,400 Lincoln Ave,940,2000-01-07,True,True,940,1,31,31,Apple,Croissant,1.45,Food
3,TYSARCZYK,BENNY,2000-01-19,2000-01-20,Cashier,False,25,Los Angeles,CA,90081,400 Lincoln Ave,940,2000-01-07,True,True,940,1,31,31,Apple,Croissant,1.45,Food
